Wall time,Step,Value
1512893365,24,100
1512893370,56,-1
1512893370,59,-2
1512893386,170,-100
1512893393,215,14
1512893419,402,98
1512893464,588,-1
1512893503,745,-6
1512893545,883,94
1512893557,904,-21
1512893560,930,-65
1512893579,1008,-1
1512893611,1090,-1
1512893635,1210,-1
1512893636,1215,1
1512893653,1279,92
1512893667,1307,11
1512893760,1641,-1
1512893792,1742,-95
1512893797,1782,-4
1512893798,1785,0
1512893810,1811,1
1512893811,1814,1
1512893827,1866,-1
1512893828,1876,-1
1512893829,1887,77
1512893871,2025,-15
1512893891,2111,-97
1512893943,2291,-1
1512893955,2312,-38
1512893978,2399,-2
1512894010,2507,-60
1512894012,2525,1
1512894030,2594,0
1512894034,2618,32
1512894047,2650,1
1512894068,2739,-36
1512894101,2838,70
1512894105,2865,-1
1512894106,2876,76
1512894155,3032,-21
1512894192,3172,-1
1512894226,3274,-4
1512894231,3318,22
1512894232,3319,-41
1512894247,3364,-1
1512894317,3619,74
1512894354,3743,1
1512894354,3744,-1
1512894355,3752,-1
1512894358,3768,-1
1512894390,3847,2
1512894425,3970,-1
1512894428,3999,-13
1512894431,4020,-88
1512894461,4110,-6
1512894499,4245,28
1512894504,4275,-2
1512894554,4446,42
1512894590,4568,32
1512894609,4640,1
1512894696,4942,27
1512894722,5053,1
1512894737,5098,-62
1512894753,5146,-21
1512894809,5346,-28
1512894841,5455,1
1512894864,5523,-2
1512894883,5596,1
1512894904,5686,50
1512894933,5773,-1
1512895026,6095,1
1512895052,6205,4
1512895087,6333,1
1512895140,6527,-5
1512895243,6875,-2
1512895280,7009,-30
1512895297,7068,16
1512895334,7183,17
1512895335,7194,-1
1512895339,7225,27
1512895340,7229,-85
1512895350,7232,12
1512895373,7337,1
1512895375,7349,80
1512895441,7575,-13
1512895443,7593,1
1512895464,7665,-1
1512895481,7719,2
1512895514,7820,27
1512895517,7842,-1
1512895539,7926,32
1512895540,7933,-53
1512895612,8167,24
1512895628,8218,-52
1512895646,8279,15
1512895666,8358,12
1512895679,8390,-1
1512895680,8397,-73
1512895701,8485,-10
1512895738,8618,-1
1512895739,8627,0
1512895825,8910,-1
1512895829,8940,-8
1512895901,9165,1
1512895919,9235,-1
1512895957,9384,-79
1512895957,9388,6
1512895995,9523,-7
1512896007,9542,-1
1512896029,9633,-1
1512896031,9647,-9
1512896064,9760,-26
1512896084,9835,-1
1512896084,9838,-8
1512896117,9951,-1
1512896151,10050,-34
1512896154,10072,-64
1512896170,10113,48
1512896194,10214,-52
1512896207,10240,-27
1512896231,10327,-4
1512896234,10340,-1
1512896251,10376,29
1512896252,10379,-5
1512896307,10562,-1
1512896311,10593,-2
1512896332,10682,15
1512896368,10807,9
