Wall time,Step,Value
1512893365.427344,24,0.0
1512893369.6851137,56,0.0
1512893370.0704896,59,0.0
1512893385.9207914,170,0.0
1512893393.140769,215,0.0
1512893419.0604334,402,0.0
1512893464.0114148,588,0.0
1512893503.1758862,745,1.0
1512893544.8055642,883,0.0
1512893556.801395,904,3.0
1512893579.461233,1008,0.0
1512893610.7326267,1090,0.0
1512893635.3983731,1210,0.0
1512893636.0353107,1215,0.0
1512893653.35877,1279,0.0
1512893667.0432684,1307,0.0
1512893792.1751697,1742,0.0
1512893797.48108,1782,3.0
1512893797.8201842,1785,0.0
1512893810.7992594,1814,0.0
1512893826.5013752,1866,0.0
1512893827.6852944,1876,0.0
1512893829.094787,1887,0.0
1512893870.75016,2025,1.0
1512893891.2760775,2111,1.0
1512893943.0022736,2291,0.0
1512893955.1779327,2312,0.0
1512893978.146334,2399,4.0
1512894010.1317074,2507,0.0
1512894012.3070369,2525,0.0
1512894030.4904497,2594,0.0
1512894033.6324964,2618,0.0
1512894067.7632005,2739,2.0
1512894101.3897269,2838,0.0
1512894104.8943064,2865,0.0
1512894106.3520303,2876,0.0
1512894154.6919088,3032,0.0
1512894191.5441847,3172,0.0
1512894225.7347746,3274,0.0
1512894231.4889233,3318,0.0
1512894231.636322,3319,0.0
1512894246.5494447,3364,0.0
1512894316.7305217,3619,2.0
1512894354.322472,3743,0.0
1512894354.4420896,3744,0.0
1512894355.457671,3752,0.0
1512894357.5729764,3768,0.0
1512894389.7787213,3847,4.0
1512894424.5169053,3970,0.0
1512894428.082099,3999,3.0
1512894430.9543781,4020,1.0
1512894461.2115808,4110,3.0
1512894499.426715,4245,3.0
1512894503.5888352,4275,4.0
1512894553.6909707,4446,2.0
1512894590.2469406,4568,2.0
1512894608.818043,4640,0.0
1512894696.2524352,4942,0.0
1512894721.9982102,5053,0.0
1512894737.2007115,5098,0.0
1512894752.938179,5146,0.0
1512894809.0667791,5346,1.0
1512894840.9841018,5455,0.0
1512894863.6750543,5523,4.0
1512894882.6101456,5596,0.0
1512894903.6048856,5686,1.0
1512894932.9965706,5773,0.0
1512895025.8942466,6095,0.0
1512895051.5471067,6205,3.0
1512895087.1096506,6333,0.0
1512895140.2680783,6527,3.0
1512895243.341599,6875,4.0
1512895280.034923,7009,0.0
1512895297.2992513,7068,3.0
1512895333.589563,7183,3.0
1512895339.3368175,7225,0.0
1512895339.9061685,7229,1.0
1512895349.5294797,7232,3.0
1512895372.8612745,7337,0.0
1512895374.520209,7349,1.0
1512895440.7244895,7575,0.0
1512895443.064376,7593,0.0
1512895481.1515777,7719,4.0
1512895514.0227826,7820,3.0
1512895611.820701,8167,0.0
1512895627.989911,8218,2.0
1512895645.662554,8279,1.0
1512895665.5081837,8358,1.0
1512895678.9382856,8390,0.0
1512895679.959083,8397,0.0
1512895701.2000363,8485,2.0
1512895737.5688818,8618,0.0
1512895825.4735734,8910,0.0
1512895900.9418678,9165,0.0
1512895918.930801,9235,0.0
1512895956.535829,9384,1.0
1512895957.0976021,9388,0.0
1512895995.4682636,9523,3.0
1512896007.1118424,9542,0.0
1512896028.5888143,9633,0.0
1512896030.5227997,9647,3.0
1512896064.2772732,9760,1.0
1512896083.865959,9835,0.0
1512896084.3075817,9838,3.0
1512896117.4729803,9951,0.0
1512896151.2519186,10050,2.0
1512896154.353323,10072,1.0
1512896169.9131413,10113,2.0
1512896194.4672692,10214,2.0
1512896207.1551387,10240,3.0
1512896231.2984421,10327,3.0
1512896234.222134,10340,0.0
1512896251.204502,10376,0.0
1512896251.553497,10379,0.0
1512896306.9811914,10562,0.0
1512896311.2618666,10593,4.0
1512896332.4880407,10682,2.0
1512896367.6718082,10807,3.0
1512896381.127603,10840,0.0
1512896382.959416,10853,1.0
1512896397.0918589,10890,0.0
1512896398.5309165,10900,0.0
1512896404.0261762,10934,0.0
1512896420.2236118,10983,0.0
1512896422.5035765,11002,1.0
1512896433.8261673,11019,3.0
1512896441.2260559,11071,2.0
1512896490.4370122,11216,1.0
1512896493.9156766,11240,0.0
1512896495.3081005,11250,2.0
1512896526.7199516,11342,0.0
1512896547.7522523,11422,2.0
1512896568.5727613,11504,3.0
1512896600.676282,11601,3.0
1512896603.71848,11622,2.0
1512896638.3968525,11721,0.0
1512896695.9618835,11938,0.0
