Wall time,Step,Value
1512924507.2019677,24,-2.0
1512924510.5368555,56,100.0
1512924510.8973575,59,-94.0
1512924513.1291456,82,-2.0
1512924513.2313244,83,-64.0
1512924519.4438095,142,-2.0
1512924522.3473508,170,-2.0
1512924526.8660686,215,2.0
1512924542.3825216,366,16.0
1512924545.9486701,402,-2.0
1512924560.943571,550,-28.0
1512924562.2845857,563,2.0
1512924564.9819465,588,-97.0
1512924572.9869,668,76.0
1512924580.9159112,745,-8.0
1512924593.7843792,876,-22.0
1512924594.5297287,883,57.0
1512924596.8357341,904,1.0
1512924599.3666396,930,1.0
1512924607.4982772,1008,-10.0
1512924615.6196687,1090,10.0
1512924630.7907174,1210,58.0
1512924631.2928216,1215,2.0
1512924634.5574298,1247,-4.0
1512924637.976079,1279,-100.0
1512924640.7065935,1307,65.0
1512924700.6891258,1641,-1.0
1512924728.616005,1742,32.0
1512924732.805907,1782,-6.0
1512924733.106703,1785,2.0
1512924744.3262377,1811,2.0
1512924744.601862,1814,1.0
1512924758.4737298,1866,-2.0
1512924759.5489223,1876,0.0
1512924760.603482,1887,-1.0
1512924795.0415723,2025,2.0
1512924812.0867295,2111,63.0
1512924855.0548153,2291,2.0
1512924865.2246573,2312,1.0
1512924882.2196605,2399,2.0
1512924909.948118,2507,2.0
1512924911.737871,2525,-1.0
1512924926.974156,2594,41.0
1512924929.2631772,2618,1.0
1512924940.799723,2650,31.0
1512924957.9166293,2739,-1.0
1512924990.8484783,2838,-2.0
1512924993.460237,2865,-1.0
1512924994.3592465,2876,15.0
1512925007.1880643,2921,2.0
1512925035.0262802,3032,1.0
1512925066.5263386,3172,4.0
1512925093.4704003,3274,74.0
1512925097.9868395,3318,50.0
1512925098.0687985,3319,-1.0
1512925111.0133548,3364,-2.0
1512925169.9699397,3619,-4.0
1512925199.3791003,3743,2.0
1512925199.4695826,3744,-4.0
1512925200.2862902,3752,69.0
1512925201.9956293,3768,43.0
1512925229.3745098,3847,-8.0
1512925231.252783,3867,2.0
1512925258.5696404,3970,-16.0
1512925261.533742,3999,2.0
1512925263.326632,4020,-2.0
1512925289.2954931,4110,-2.0
1512925319.321885,4245,-21.0
1512925322.2445278,4275,-12.0
1512925362.718357,4430,65.0
1512925364.4366608,4446,-83.0
1512925366.653896,4469,2.0
1512925393.5247893,4568,20.0
1512925409.3355913,4640,-16.0
1512925424.1505382,4705,2.0
1512925435.7576547,4736,100.0
1512925483.8009899,4942,1.0
1512925503.3894105,5053,2.0
1512925503.5583875,5055,2.0
1512925516.3234322,5098,8.0
1512925529.400274,5146,40.0
1512925529.8011923,5150,-2.0
1512925575.2252617,5346,-1.0
1512925603.0185308,5455,-1.0
1512925607.6384923,5502,11.0
1512925618.3026655,5523,-18.0
1512925633.8556025,5596,21.0
1512925651.42077,5686,-2.0
1512925677.0834877,5773,4.0
1512925754.6586244,6095,18.0
1512925756.6452157,6113,-42.0
1512925777.095743,6205,2.0
1512925786.1023574,6209,-42.0
1512925806.4983306,6332,8.0
1512925806.6006293,6333,-8.0
1512925851.429888,6527,66.0
1512925937.3027287,6875,-16.0
1512925955.0684638,6969,4.0
1512925967.4212503,7009,-8.0
1512925967.6455824,7011,-56.0
1512925968.872472,7022,98.0
1512925982.1962357,7068,-70.0
1512926022.2526197,7183,-1.0
1512926023.3689044,7194,32.0
1512926025.9904296,7225,2.0
1512926026.3478537,7229,-1.0
1512926040.6902866,7232,17.0
1512926065.1493192,7337,-21.0
1512926066.4065254,7349,2.0
1512926159.4650314,7575,98.0
1512926161.2260785,7593,2.0
1512926188.0797198,7665,-6.0
1512926213.08039,7719,2.0
1512926262.5337453,7820,10.0
1512926264.6710644,7842,-2.0
1512926293.0547307,7926,-48.0
1512926293.7660882,7933,83.0
1512926395.2350543,8167,12.0
1512926419.8493924,8218,-2.0
1512926445.2722535,8279,-1.0
1512926471.9669285,8351,2.0
1512926472.5253716,8358,1.0
1512926495.2659886,8390,-2.0
1512926495.9679437,8397,-98.0
1512926524.444337,8485,63.0
1512926572.9401128,8580,40.0
1512926576.7910087,8618,-2.0
1512926577.7753947,8627,2.0
1512926628.3182697,8746,-2.0
1512926703.1164794,8910,-2.0
1512926706.1982992,8940,-43.0
1512926785.2817864,9127,2.0
1512926808.7854483,9165,-1.0
1512926835.1220672,9235,2.0
1512926893.7824655,9384,-38.0
1512926894.1926818,9388,-46.0
1512926947.4530602,9523,2.0
1512926969.4466367,9542,-78.0
1512926998.902649,9633,-1.0
1512927000.3543775,9647,-1.0
1512927049.1138363,9736,4.0
1512927051.412898,9760,-2.0
1512927078.8274708,9835,98.0
1512927079.095614,9838,-7.0
1512927131.692834,9951,-28.0
1512927189.5438015,10050,-2.0
1512927192.0187862,10072,1.0
1512927220.1631756,10113,2.0
1512927252.1439986,10179,-78.0
1512927255.8739467,10214,-79.0
1512927280.6987984,10240,27.0
1512927313.1438582,10327,-92.0
1512927314.57817,10340,69.0
1512927337.9318516,10376,-2.0
1512927338.2517104,10379,100.0
1512927416.8967407,10562,1.0
1512927418.5418625,10579,-1.0
1512927420.0661814,10593,-98.0
1512927452.0386992,10682,-2.0
1512927506.3336823,10807,28.0
1512927534.1999547,10840,6.0
1512927535.624101,10853,93.0
1512927559.3055475,10890,1.0
1512927560.3517506,10900,8.0
1512927563.7848446,10934,16.0
1512927587.024626,10967,99.0
1512927588.7559867,10983,-55.0
1512927590.6807928,11002,12.0
1512927612.3684852,11019,2.0
1512927617.0369234,11071,2.0
1512927668.4521184,11185,-81.0
1512927668.8270514,11189,2.0
1512927691.3784182,11216,-63.0
1512927693.9461548,11240,42.0
1512927694.9118385,11250,1.0
1512927744.3302395,11342,-2.0
1512927772.0987813,11422,-20.0
1512927798.928271,11491,-36.0
1512927800.253779,11504,-2.0
1512927849.9786284,11598,1.0
1512927850.2594635,11601,30.0
1512927852.2448285,11622,13.0
1512927901.5987787,11721,-4.0
1512927982.4245527,11938,4.0
1512928037.5082452,12092,107.0
