Wall time,Step,Value
1512527808.8185897,21,-79.0
1512527808.9918904,24,4.0
1512527810.616604,56,100.0
1512527810.762067,59,-1.0
1512527811.8833067,82,1.0
1512527811.9312837,83,-22.0
1512527815.508078,142,-100.0
1512527816.868453,170,7.0
1512527817.0465155,174,-43.0
1512527818.9363468,215,2.0
1512527821.265436,264,1.0
1512527824.760414,341,2.0
1512527826.0462313,366,-2.0
1512527827.7612083,402,-2.0
1512527830.1337874,455,-1.0
1512527832.749424,513,-1.0
1512527834.528069,550,1.0
1512527834.6098015,552,1.0
1512527835.17253,563,2.0
1512527836.364404,588,-2.0
1512527838.2070484,628,-2.0
1512527839.8328578,660,1.0
1512527839.9662943,663,2.0
1512527840.1872044,668,-18.0
1512527844.0988555,745,-8.0
1512527847.274595,815,-42.0
1512527848.5236044,841,100.0
1512527848.9494448,849,20.0
1512527850.2068746,876,0.0
1512527850.5089633,883,2.0
1512527851.411087,901,-17.0
1512527851.5436215,904,-2.0
1512527852.8098862,930,1.0
1512527856.8425922,1008,-2.0
1512527858.5813477,1041,2.0
1512527860.9154391,1090,-100.0
1512527862.934568,1133,-22.0
1512527867.9896748,1210,-2.0
1512527868.212072,1215,-1.0
1512527869.2044773,1233,16.0
1512527869.9119475,1247,7.0
1512527870.7115161,1262,32.0
1512527871.5502312,1279,46.0
1512527873.141951,1307,-32.0
1512527877.4979782,1376,-2.0
1512527879.5902283,1417,-2.0
1512527879.8377318,1422,64.0
1512527888.3589325,1597,-1.0
1512527889.486233,1619,38.0
1512527890.6324053,1641,-1.0
1512527891.359176,1657,-1.0
1512527893.8613524,1700,0.0
1512527894.8627875,1720,2.0
1512527896.007968,1742,-43.0
1512527898.020209,1782,16.0
1512527898.1605697,1785,1.0
1512527898.8140893,1799,0.0
1512527899.4020948,1811,-42.0
1512527899.566922,1814,100.0
1512527902.326058,1866,-58.0
1512527902.8485324,1876,-22.0
1512527903.4160802,1887,100.0
1512527906.196334,1937,17.0
1512527908.5510633,1980,-20.0
1512527910.7846954,2025,-1.0
1512527915.4051344,2111,-100.0
1512527926.530489,2291,-27.0
1512527927.5240586,2312,100.0
1512527931.9551907,2399,-100.0
1512527932.9538152,2417,7.0
1512527935.6805649,2467,-98.0
1512527937.703251,2507,64.0
1512527938.5506117,2525,-1.0
1512527939.605893,2545,-21.0
1512527941.761437,2589,-8.0
1512527942.097975,2594,163.0
1512527943.212256,2618,6.0
1512527944.8153765,2650,99.0
1512527949.6375551,2739,99.0
1512527952.4872153,2795,2.0
1512527954.6143389,2838,6.0
1512527955.9673827,2865,-100.0
1512527956.5862951,2876,1.0
1512527959.064783,2921,2.0
1512527961.454811,2972,1.0
1512527964.3560808,3032,1.0
1512527967.751353,3101,2.0
1512527969.400241,3133,-1.0
1512527971.5844615,3172,-2.0
1512527976.8134933,3274,1.0
1512527978.3476372,3304,31.0
1512527979.0283296,3318,77.0
1512527979.083797,3319,28.0
1512527979.7209268,3331,2.0
1512527981.5184765,3364,6.0
1512527985.0250819,3432,1.0
1512527988.5693998,3492,1.0
1512527994.307166,3571,2.0
1512527996.66303,3619,2.0
1512527998.816176,3664,-58.0
1512528002.4784732,3739,2.0
1512528002.6653368,3743,-100.0
1512528002.7937598,3744,-2.0
1512528003.1971982,3752,1.0
1512528003.9341366,3768,-2.0
1512528003.9998388,3769,102.0
1512528008.0057797,3847,2.0
1512528008.367034,3855,99.0
1512528008.682699,3862,-26.0
1512528008.9138796,3867,99.0
1512528014.170223,3970,1.0
1512528015.4640067,3999,7.0
1512528016.5143533,4020,-8.0
1512528021.0783992,4110,1.0
1512528025.7476048,4205,2.0
1512528026.0432322,4212,1.0
1512528027.642638,4245,2.0
1512528029.1580963,4275,2.0
1512528036.8950815,4430,1.0
1512528037.6372626,4446,1.0
1512528038.7823482,4469,2.0
1512528041.416725,4522,1.0
1512528043.530619,4568,8.0
1512528046.2787702,4625,2.0
1512528047.0463514,4640,1.0
1512528049.3517628,4690,1.0
1512528050.0954986,4705,2.0
1512528051.5908775,4736,-1.0
1512528052.927665,4767,2.0
1512528053.7370732,4783,-90.0
1512528058.634276,4873,17.0
1512528059.2256415,4884,12.0
1512528062.617193,4942,7.0
1512528067.0070055,5014,1.0
1512528067.9486632,5030,1.0
1512528069.1641262,5053,2.0
1512528069.2509558,5055,-1.0
1512528069.469792,5057,2.0
1512528069.9286098,5066,1.0
1512528071.6267667,5098,1.0
1512528072.2910469,5112,1.0
1512528072.5943177,5119,-1.0
1512528073.903569,5146,1.0
1512528074.1008034,5150,6.0
1512528074.8334775,5163,24.0
1512528078.3809612,5237,2.0
1512528085.343775,5346,27.0
1512528087.3532605,5388,1.0
1512528087.396833,5389,2.0
1512528089.0929046,5424,42.0
1512528090.5676339,5455,2.0
1512528091.9328575,5483,2.0
1512528092.4694433,5495,2.0
1512528092.7920263,5502,1.0
1512528093.5295937,5516,1.0
1512528093.932768,5523,2.0
1512528095.2246017,5547,2.0
1512528096.5892355,5573,2.0
1512528097.6228101,5596,1.0
1512528097.9582505,5601,2.0
1512528101.763252,5680,1.0
1512528102.0116782,5686,-1.0
1512528106.3052535,5773,2.0
1512528106.6117764,5780,1.0
1512528109.2521002,5836,1.0
1512528111.7604382,5887,2.0
1512528114.3980749,5937,2.0
1512528122.1274934,6089,21.0
1512528122.3810847,6095,2.0
1512528123.3122246,6113,2.0
1512528123.6695645,6121,2.0
1512528126.959622,6186,1.0
1512528127.2579944,6192,1.0
1512528127.4364736,6195,0.0
1512528127.9344752,6205,2.0
1512528128.2503018,6209,2.0
1512528128.5514326,6216,1.0
1512528133.79151,6324,1.0
1512528134.141026,6332,1.0
1512528134.1834855,6333,2.0
1512528135.0304327,6349,-1.0
1512528144.3404648,6527,2.0
1512528149.4490023,6630,1.0
1512528153.6432786,6719,2.0
1512528156.142339,6768,1.0
1512528161.750868,6875,2.0
1512528165.8123803,6957,2.0
1512528165.982858,6961,2.0
1512528166.3247495,6969,2.0
1512528168.2831166,7009,2.0
1512528168.3720982,7011,2.0
1512528168.8700862,7022,-55.0
1512528171.021468,7068,1.0
1512528171.7241483,7081,2.0
1512528171.8520942,7084,1.0
1512528172.5723102,7101,0.0
1512528172.6506674,7103,-1.0
1512528173.6176038,7122,1.0
1512528176.5908124,7183,-1.0
1512528177.0996842,7194,1.0
1512528178.5946763,7225,-1.0
1512528178.7488914,7229,-1.0
1512528178.9801402,7232,1.0
1512528183.9525223,7337,-4.0
1512528184.5000372,7349,-1.0
1512528185.6754901,7373,2.0
1512528185.9833047,7380,1.0
1512528195.3787322,7545,2.0
1512528196.8369837,7575,2.0
1512528197.7443383,7593,-1.0
1512528199.3967726,7627,2.0
1512528200.569567,7651,-1.0
1512528201.1867843,7665,2.0
1512528203.7389343,7719,2.0
1512528208.7301793,7820,1.0
1512528209.7895665,7842,1.0
1512528213.6242008,7926,1.0
1512528213.9397757,7933,2.0
1512528214.2533512,7938,1.0
1512528225.0614238,8167,2.0
1512528225.2701926,8172,12.0
1512528227.500577,8218,4.0
1512528230.4223917,8279,2.0
1512528233.457757,8341,2.0
1512528233.9074671,8351,2.0
1512528234.3440545,8358,1.0
1512528235.2372932,8378,1.0
1512528235.8719752,8390,1.0
1512528236.1685197,8397,2.0
1512528236.4775114,8404,1.0
1512528239.0145135,8457,56.0
1512528240.2998312,8485,0.0
1512528244.8356252,8580,1.0
1512528244.9270382,8582,1.0
1512528245.5610764,8597,2.0
1512528245.7787092,8602,1.0
1512528246.5963354,8618,1.0
1512528246.9838095,8627,2.0
1512528253.5742812,8746,1.0
1512528253.68819,8748,1.0
1512528258.006601,8834,1.0
1512528259.8078177,8872,1.0
1512528259.8514059,8873,2.0
1512528260.1385565,8879,26.0
1512528261.6721694,8910,1.0
1512528263.1687603,8940,1.0
1512528265.797358,8990,1.0
1512528272.76987,9127,2.0
1512528273.7622414,9149,2.0
1512528274.6421373,9165,-79.0
1512528278.3662763,9235,2.0
1512528286.3515425,9384,1.0
1512528286.5386002,9388,1.0
1512528293.186172,9523,-8.0
1512528293.2783618,9525,-1.0
1512528294.181086,9542,1.0
1512528295.0121121,9558,1.0
1512528298.7634623,9633,2.0
1512528299.447348,9647,2.0
1512528302.367188,9706,1.0
1512528303.6703708,9733,2.0
1512528303.8060784,9736,1.0
1512528305.0339468,9760,1.0
1512528306.1641574,9785,2.0
1512528306.9214694,9799,1.0
1512528308.4186687,9829,2.0
1512528308.6898978,9835,2.0
1512528308.8207355,9838,1.0
1512528313.7425601,9937,-1.0
1512528313.9965549,9943,-7.0
1512528314.3486373,9951,2.0
1512528320.8755035,10050,1.0
1512528321.8579102,10072,1.0
1512528323.979414,10113,2.0
1512528326.1274695,10154,1.0
1512528327.3455627,10179,2.0
1512528329.0006707,10214,1.0
1512528329.7520685,10231,2.0
1512528330.2727904,10240,1.0
1512528333.2822583,10301,2.0
1512528334.576872,10327,2.0
1512528335.2952807,10340,-7.0
1512528337.0530877,10376,1.0
1512528337.2059088,10379,-69.0
1512528342.7776656,10495,2.0
1512528344.8433185,10535,1.0
1512528345.3460357,10546,1.0
1512528345.69622,10554,1.0
1512528346.1654217,10562,-2.0
1512528346.351393,10566,1.0
1512528346.936417,10579,2.0
1512528347.700552,10593,2.0
1512528351.9739542,10682,4.0
1512528354.6286998,10729,2.0
1512528356.1484253,10759,-1.0
1512528358.5159416,10807,-1.0
1512528360.2121224,10840,1.0
1512528360.904048,10853,2.0
1512528361.1232185,10858,1.0
1512528362.7754476,10890,1.0
1512528363.25708,10900,-1.0
1512528364.9214792,10933,2.0
1512528364.9759753,10934,1.0
1512528366.718306,10967,2.0
1512528367.5688698,10983,2.0
1512528367.6669817,10985,2.0
1512528368.4596746,11002,1.0
1512528369.3862073,11019,2.0
1512528369.487055,11021,19.0
1512528370.6375315,11044,1.0
1512528370.722398,11046,1.0
1512528371.8606784,11071,-1.0
1512528375.522591,11142,1.0
1512528377.591534,11185,2.0
1512528377.6349566,11186,1.0
1512528377.7691271,11189,2.0
1512528379.1018114,11216,1.0
1512528380.3362646,11240,1.0
1512528380.76995,11250,1.0
1512528382.0829468,11277,2.0
1512528385.3490915,11342,24.0
1512528387.1561468,11378,1.0
1512528388.3049002,11398,1.0
1512528389.5681431,11422,1.0
1512528393.4719362,11491,2.0
1512528394.105539,11504,1.0
1512528399.2756207,11596,1.0
1512528399.3780088,11598,1.0
1512528399.5248873,11601,2.0
1512528400.7644625,11622,1.0
1512528403.984642,11685,-82.0
1512528405.8149917,11721,5.0
1512528410.308525,11807,-1.0
1512528411.563525,11830,1.0
1512528417.4686096,11938,1.0
1512528420.8200088,12006,1.0
1512528425.152532,12092,1.0
1512528425.6718173,12101,2.0
1512528428.4409547,12152,73.0
1512528430.2968376,12184,1.0
1512528430.9560363,12196,1.0
1512528434.4169676,12264,1.0
1512528435.327327,12282,12.0
1512528435.3772502,12283,2.0
1512528436.272051,12300,1.0
1512528436.4979486,12305,2.0
1512528437.402517,12323,2.0
1512528441.1054091,12391,28.0
1512528442.0025601,12410,1.0
1512528446.0572252,12482,27.0
1512528446.8819711,12499,2.0
1512528447.6620817,12512,-1.0
1512528449.4428804,12544,1.0
1512528452.2948284,12597,2.0
1512528452.6381557,12604,1.0
1512528453.1366029,12611,67.0
1512528453.6800923,12622,4.0
1512528453.720776,12623,1.0
1512528456.6179676,12677,-1.0
1512528457.4204316,12694,1.0
1512528457.4637382,12695,-2.0
1512528461.8351781,12780,1.0
1512528462.3439882,12791,2.0
1512528463.5733137,12815,2.0
1512528464.9055169,12840,1.0
1512528465.2387235,12847,2.0
1512528465.4913392,12852,1.0
1512528467.5545533,12894,16.0
1512528468.0637991,12903,2.0
1512528468.4737992,12912,6.0
1512528474.4585433,12997,2.0
1512528476.2707958,13027,2.0
1512528480.3046143,13104,1.0
1512528480.513084,13108,1.0
1512528480.7756336,13113,-1.0
1512528482.2156007,13137,2.0
1512528482.8640668,13148,1.0
1512528483.276002,13152,1.0
1512528484.6709712,13178,1.0
1512528488.227779,13242,16.0
